building,kwh,gas_cuft,sqft,fuel,use,year_built,elec_co2_mt,gas_co2_mt,total_co2_mt,total_kbtu,eui_kbtu_per_sqft,co2_per_1000sqft
ALCC,5330.0,0.0,3724.0,GAS,Academic Building,1917.0,1.07,0.0,1.07,18186.0,4.9,0.287
Babbitt #1,467040.0,0.0,,,,,93.88,0.0,93.88,1593540.0,,
Babbitt #2,588720.0,0.0,,,,,118.33,0.0,118.33,2008713.0,,
Backus House,5581.0,0.0,6384.0,GAS,Academic Building,1802.0,1.12,0.0,1.12,19042.0,3.0,0.175
Beinecke Annex,45185.0,0.0,,,,,9.08,0.0,9.08,154171.0,,
Beinecke Village,120947.2,0.0,25159.0,GAS,Student Activity Buildings,1993.0,24.31,0.0,24.31,412672.0,16.4,0.966
Benedict,29140.0,0.0,10705.0,GAS,Academic Building,1897.0,5.86,0.0,5.86,99426.0,9.3,0.547
Bristol Center,245158.0,0.0,36416.0,GAS,Student Activity Buildings,1965.0,49.28,0.0,49.28,836479.0,23.0,1.353
Bundy D H,99520.0,0.0,,,,,20.0,0.0,20.0,339562.0,,
Bundy East,490729.0,0.0,31516.0,ELEC,Resident Hall,1970.0,98.64,0.0,98.64,1674367.0,53.1,3.13
Bundy West,70880.0,0.0,31516.0,ELEC,Resident Hall,1970.0,14.25,0.0,14.25,241843.0,7.7,0.452
Burke Library,1985280.0,0.0,102756.0,ELEC,Academic Building,1972.0,399.04,0.0,399.04,6773775.0,65.9,3.883
Buttrick,0.0,442439.0,10176.0,GAS,Administrative Buildings,1812.0,0.0,23.45,23.45,45349997.0,4456.6,2.304
C.A. Johnson,0.0,2579407.0,,,,,0.0,136.71,136.71,264389217.0,,
Chapel,17808.0,0.0,16314.0,GAS,Academic Building,1827.0,3.58,0.0,3.58,60761.0,3.7,0.219
Commons,678700.0,538069.0,28551.0,GAS,Dining Halls,1903.0,136.42,28.52,164.94,57467797.0,2012.8,5.777
Couper Hall,17060.0,0.0,7527.0,GAS,Academic Building,1888.0,3.43,0.0,3.43,58209.0,7.7,0.456
Dunham,304982.8,1809390.0,66716.0,GAS,Resident Hall,1904.0,61.3,95.9,157.2,186503076.0,2795.5,2.356
E.Root (Old Admissions),52845.0,0.0,,,,,10.62,0.0,10.62,180307.0,,
Eells,147268.0,0.0,29235.0,GAS,Resident Hall,1927.0,29.6,0.0,29.6,502478.0,17.2,1.012
Ferguson,119941.8,0.0,27814.0,GAS,Resident Hall,,24.11,0.0,24.11,409241.0,14.7,0.867
Field House,663040.0,0.0,80405.0,GAS,Athletic Building,1978.0,133.27,0.0,133.27,2262292.0,28.1,1.657
Gym,1441426.0,1555646.0,62942.0,GAS,Athletic Building,1940.0,289.73,82.45,372.18,164371861.0,2611.5,5.913
Health Center,14367.0,0.0,14151.0,,Administrative Buildings,2018.0,2.89,0.0,2.89,49020.0,3.5,0.204
KTSA,802637.0,0.0,,,,,161.33,0.0,161.33,2738597.0,,
Keehn Dorm,69760.0,0.0,,,,,14.02,0.0,14.02,238021.0,,
Kirkland Dorm,106043.0,0.0,,,,,21.31,0.0,21.31,361819.0,,
Kirner Johnson,1553493.0,0.0,92862.0,GAS,Academic Building,1971.0,312.25,0.0,312.25,5300518.0,57.1,3.363
List,767791.0,0.0,40936.0,ELEC,Academic Building,1970.0,154.33,0.0,154.33,2619703.0,64.0,3.77
Little Pub,55274.0,0.0,6919.0,GAS,Student Activity Buildings,1996.0,11.11,0.0,11.11,188595.0,27.3,1.606
Major,70891.0,0.0,18031.0,GAS,Resident Hall,1968.0,14.25,0.0,14.25,241880.0,13.4,0.79
McEwen D H,636600.0,0.0,,,,,127.96,0.0,127.96,2172079.0,,
Mcintosh,76928.0,0.0,18031.0,GAS,Resident Hall,1968.0,15.46,0.0,15.46,262478.0,14.6,0.857
Milbank #1,522700.0,0.0,,,,,105.06,0.0,105.06,1783452.0,,
Milbank #2,582960.0,0.0,,,,,117.17,0.0,117.17,1989060.0,,
Minor Dorm,81472.0,0.0,,,,,16.38,0.0,16.38,277982.0,,
North Dorm,119520.0,0.0,,,,,24.02,0.0,24.02,407802.0,,
Old Chlorinator Hse.,16607.0,0.0,,,,,3.34,0.0,3.34,56663.0,,
Root Dorm,137040.0,0.0,,,,,27.55,0.0,27.55,467580.0,,
Sadove Campus Center,754104.0,0.0,36416.0,GAS,Student Activity Buildings,1965.0,151.57,0.0,151.57,2573003.0,70.7,4.162
Sage Rink,1032707.0,0.0,40232.0,GAS,Athletic Building,1921.0,207.57,0.0,207.57,3523596.0,87.6,5.159
Schambach,368500.0,0.0,54507.0,GAS,Academic Building,1987.0,74.07,0.0,74.07,1257322.0,23.1,1.359
Science Facility,5897290.0,0.0,,,,,1185.36,0.0,1185.36,20121553.0,,
Solar Classroom,11397.0,0.0,1000.0,ELEC,Academic Building,1976.0,2.29,0.0,2.29,38887.0,38.9,2.29
Spencer House,67463.0,0.0,16788.0,GAS,Administrative Buildings,1905.0,13.56,0.0,13.56,230184.0,13.7,0.808
Wally J. (98 CHR),30417.0,0.0,,,,,6.11,0.0,6.11,103783.0,,
Wellin Art Museum,865931.79,0.0,30537.0,GEO,Academic Building,2012.0,174.05,0.0,174.05,2954559.0,96.8,5.7
Wertimer House,88167.2,0.0,15920.0,GAS,Resident Hall,1927.0,17.72,0.0,17.72,300826.0,18.9,1.113
Woollcott,47024.0,0.0,11798.0,GAS,Resident Hall,1925.0,9.45,0.0,9.45,160446.0,13.6,0.801
