year,building,kwh,gas_cuft,elec_co2_mt,gas_co2_mt,total_co2_mt
2021,(kilowatts),0.0,0.0,0.0,0.0,0.0
2022,(kilowatts),0.0,0.0,0.0,0.0,0.0
2023,(kilowatts),0.0,0.0,0.0,0.0,0.0
2024,(kilowatts),0.0,0.0,0.0,0.0,0.0
2025,(kilowatts),0.0,0.0,0.0,0.0,0.0
2003,98 C H R,0.0,0.0,0.0,0.0,0.0
2003,ALCC,0.0,0.0,0.0,0.0,0.0
2004,ALCC,4538.0,0.0,0.91,0.0,0.91
2005,ALCC,4249.0,0.0,0.85,0.0,0.85
2006,ALCC,0.0,0.0,0.0,0.0,0.0
2007,ALCC,3027.0,0.0,0.61,0.0,0.61
2008,ALCC,4636.0,0.0,0.93,0.0,0.93
2009,ALCC,5534.0,0.0,1.11,0.0,1.11
2010,ALCC,6489.0,0.0,1.3,0.0,1.3
2011,ALCC,4428.0,0.0,0.89,0.0,0.89
2012,ALCC,2396.0,0.0,0.48,0.0,0.48
2013,ALCC,4038.0,0.0,0.81,0.0,0.81
2014,ALCC,3565.0,0.0,0.72,0.0,0.72
2015,ALCC,4629.0,0.0,0.93,0.0,0.93
2016,ALCC,7052.0,0.0,1.42,0.0,1.42
2017,ALCC,8278.0,0.0,1.66,0.0,1.66
2018,ALCC,9774.0,0.0,1.96,0.0,1.96
2019,ALCC,5382.0,0.0,1.08,0.0,1.08
2020,ALCC,4428.0,0.0,0.89,0.0,0.89
2021,ALCC,4962.0,0.0,1.0,0.0,1.0
2022,ALCC,5594.0,0.0,1.12,0.0,1.12
2023,ALCC,5330.0,0.0,1.07,0.0,1.07
2024,ALCC,3761.0,0.0,0.76,0.0,0.76
2025,ALCC,4568.0,0.0,0.92,0.0,0.92
2003,Admissions,0.0,0.0,0.0,0.0,0.0
2004,Admissions,50335.0,0.0,10.12,0.0,10.12
2005,Admissions,66584.0,0.0,13.38,0.0,13.38
2006,Admissions,0.0,0.0,0.0,0.0,0.0
2003,Artificial Turf Field,0.0,0.0,0.0,0.0,0.0
2004,Artificial Turf Field,0.0,0.0,0.0,0.0,0.0
2005,Artificial Turf Field,0.0,0.0,0.0,0.0,0.0
2006,Artificial Turf Field,0.0,0.0,0.0,0.0,0.0
2007,Artificial Turf Field,0.0,0.0,0.0,0.0,0.0
2008,Artificial Turf Field,0.0,0.0,0.0,0.0,0.0
2009,Artificial Turf Field,0.0,0.0,0.0,0.0,0.0
2003,Babbitt #1,0.0,0.0,0.0,0.0,0.0
2004,Babbitt #1,477120.0,0.0,95.9,0.0,95.9
2005,Babbitt #1,504000.0,0.0,101.3,0.0,101.3
2006,Babbitt #1,0.0,0.0,0.0,0.0,0.0
2007,Babbitt #1,470640.0,0.0,94.6,0.0,94.6
2008,Babbitt #1,424320.0,0.0,85.29,0.0,85.29
2009,Babbitt #1,396038.0,0.0,79.6,0.0,79.6
2010,Babbitt #1,377340.0,0.0,75.85,0.0,75.85
2011,Babbitt #1,426240.0,0.0,85.67,0.0,85.67
2012,Babbitt #1,412560.0,0.0,82.92,0.0,82.92
2013,Babbitt #1,441600.0,0.0,88.76,0.0,88.76
2014,Babbitt #1,441840.0,0.0,88.81,0.0,88.81
2015,Babbitt #1,433200.0,0.0,87.07,0.0,87.07
2016,Babbitt #1,452640.0,0.0,90.98,0.0,90.98
2017,Babbitt #1,439680.0,0.0,88.38,0.0,88.38
2018,Babbitt #1,493800.0,0.0,99.25,0.0,99.25
2019,Babbitt #1,495840.0,0.0,99.66,0.0,99.66
2020,Babbitt #1,371280.0,0.0,74.63,0.0,74.63
2021,Babbitt #1,467520.0,0.0,93.97,0.0,93.97
2022,Babbitt #1,493680.0,0.0,99.23,0.0,99.23
2023,Babbitt #1,467040.0,0.0,93.88,0.0,93.88
2024,Babbitt #1,453120.0,0.0,91.08,0.0,91.08
2025,Babbitt #1,490080.0,0.0,98.51,0.0,98.51
2003,Babbitt #2,0.0,0.0,0.0,0.0,0.0
2004,Babbitt #2,634320.0,0.0,127.5,0.0,127.5
2005,Babbitt #2,656160.0,0.0,131.89,0.0,131.89
2006,Babbitt #2,0.0,0.0,0.0,0.0,0.0
2007,Babbitt #2,630240.0,0.0,126.68,0.0,126.68
2008,Babbitt #2,586080.0,0.0,117.8,0.0,117.8
2009,Babbitt #2,555360.0,0.0,111.63,0.0,111.63
2010,Babbitt #2,525360.0,0.0,105.6,0.0,105.6
2011,Babbitt #2,563460.0,0.0,113.26,0.0,113.26
2012,Babbitt #2,583440.0,0.0,117.27,0.0,117.27
2013,Babbitt #2,600140.0,0.0,120.63,0.0,120.63
2014,Babbitt #2,524600.0,0.0,105.44,0.0,105.44
2015,Babbitt #2,584880.0,0.0,117.56,0.0,117.56
2016,Babbitt #2,574153.0,0.0,115.4,0.0,115.4
2017,Babbitt #2,408369.0,0.0,82.08,0.0,82.08
2018,Babbitt #2,518538.0,0.0,104.23,0.0,104.23
2019,Babbitt #2,585857.0,0.0,117.76,0.0,117.76
2020,Babbitt #2,459120.0,0.0,92.28,0.0,92.28
2021,Babbitt #2,638400.0,0.0,128.32,0.0,128.32
2022,Babbitt #2,675360.0,0.0,135.75,0.0,135.75
2023,Babbitt #2,588720.0,0.0,118.33,0.0,118.33
2024,Babbitt #2,588240.0,0.0,118.24,0.0,118.24
2025,Babbitt #2,708000.0,0.0,142.31,0.0,142.31
2003,Backus House,0.0,0.0,0.0,0.0,0.0
2004,Backus House,13691.0,0.0,2.75,0.0,2.75
2005,Backus House,16816.0,0.0,3.38,0.0,3.38
2006,Backus House,0.0,0.0,0.0,0.0,0.0
2007,Backus House,12198.0,0.0,2.45,0.0,2.45
2008,Backus House,10315.0,0.0,2.07,0.0,2.07
2009,Backus House,10380.0,0.0,2.09,0.0,2.09
2010,Backus House,10819.0,0.0,2.17,0.0,2.17
2011,Backus House,11471.0,0.0,2.31,0.0,2.31
2012,Backus House,11353.0,0.0,2.28,0.0,2.28
2013,Backus House,10357.0,0.0,2.08,0.0,2.08
2014,Backus House,8492.0,0.0,1.71,0.0,1.71
2015,Backus House,7704.0,0.0,1.55,0.0,1.55
2016,Backus House,6651.0,0.0,1.34,0.0,1.34
2017,Backus House,8033.0,0.0,1.61,0.0,1.61
2018,Backus House,15040.0,0.0,3.02,0.0,3.02
2019,Backus House,8136.0,0.0,1.64,0.0,1.64
2020,Backus House,7883.0,0.0,1.58,0.0,1.58
2021,Backus House,7599.0,0.0,1.53,0.0,1.53
2022,Backus House,4789.0,0.0,0.96,0.0,0.96
2023,Backus House,5581.0,0.0,1.12,0.0,1.12
2024,Backus House,5206.0,0.0,1.05,0.0,1.05
2025,Backus House,5407.0,0.0,1.09,0.0,1.09
2003,Beinecke Annex,0.0,0.0,0.0,0.0,0.0
2004,Beinecke Annex,87893.9,0.0,17.67,0.0,17.67
2005,Beinecke Annex,90895.8,0.0,18.27,0.0,18.27
2006,Beinecke Annex,0.0,0.0,0.0,0.0,0.0
2007,Beinecke Annex,67587.8,0.0,13.59,0.0,13.59
2008,Beinecke Annex,57466.3,0.0,11.55,0.0,11.55
2009,Beinecke Annex,51068.2,0.0,10.26,0.0,10.26
2010,Beinecke Annex,49721.1,0.0,9.99,0.0,9.99
2011,Beinecke Annex,50876.2,0.0,10.23,0.0,10.23
2012,Beinecke Annex,47298.2,0.0,9.51,0.0,9.51
2013,Beinecke Annex,52140.8,0.0,10.48,0.0,10.48
2014,Beinecke Annex,44088.0,0.0,8.86,0.0,8.86
2015,Beinecke Annex,45064.0,0.0,9.06,0.0,9.06
2016,Beinecke Annex,44020.0,0.0,8.85,0.0,8.85
2017,Beinecke Annex,36848.3,0.0,7.41,0.0,7.41
2018,Beinecke Annex,42513.2,0.0,8.55,0.0,8.55
2019,Beinecke Annex,76430.2,0.0,15.36,0.0,15.36
2020,Beinecke Annex,91679.7,0.0,18.43,0.0,18.43
2021,Beinecke Annex,57549.6,0.0,11.57,0.0,11.57
2022,Beinecke Annex,50450.5,0.0,10.14,0.0,10.14
2023,Beinecke Annex,45185.0,0.0,9.08,0.0,9.08
2024,Beinecke Annex,31970.5,0.0,6.43,0.0,6.43
2025,Beinecke Annex,48021.8,0.0,9.65,0.0,9.65
2003,Beinecke Village,0.0,0.0,0.0,0.0,0.0
2004,Beinecke Village,166919.0,0.0,33.55,0.0,33.55
2005,Beinecke Village,174534.0,0.0,35.08,0.0,35.08
2006,Beinecke Village,0.0,0.0,0.0,0.0,0.0
2007,Beinecke Village,702384.82,0.0,141.18,0.0,141.18
2008,Beinecke Village,143704.1,0.0,28.88,0.0,28.88
2009,Beinecke Village,131821.0,0.0,26.5,0.0,26.5
2010,Beinecke Village,134589.0,0.0,27.05,0.0,27.05
2011,Beinecke Village,128197.0,0.0,25.77,0.0,25.77
2012,Beinecke Village,124393.0,0.0,25.0,0.0,25.0
2013,Beinecke Village,138611.0,0.0,27.86,0.0,27.86
2014,Beinecke Village,123654.0,0.0,24.85,0.0,24.85
2015,Beinecke Village,126000.0,0.0,25.33,0.0,25.33
2016,Beinecke Village,127990.0,0.0,25.73,0.0,25.73
2017,Beinecke Village,126510.0,0.0,25.43,0.0,25.43
2018,Beinecke Village,130745.0,0.0,26.28,0.0,26.28
2019,Beinecke Village,126436.1,0.0,25.41,0.0,25.41
2020,Beinecke Village,95323.0,0.0,19.16,0.0,19.16
2021,Beinecke Village,119986.0,0.0,24.12,0.0,24.12
2022,Beinecke Village,126510.2,0.0,25.43,0.0,25.43
2023,Beinecke Village,120947.2,0.0,24.31,0.0,24.31
2024,Beinecke Village,121750.0,0.0,24.47,0.0,24.47
2025,Beinecke Village,122446.0,0.0,24.61,0.0,24.61
2003,Benedict,0.0,0.0,0.0,0.0,0.0
2004,Benedict,27350.0,0.0,5.5,0.0,5.5
2005,Benedict,29619.0,0.0,5.95,0.0,5.95
2006,Benedict,0.0,0.0,0.0,0.0,0.0
2007,Benedict,24905.0,0.0,5.01,0.0,5.01
2008,Benedict,27816.0,0.0,5.59,0.0,5.59
2009,Benedict,25518.0,0.0,5.13,0.0,5.13
2010,Benedict,24356.0,0.0,4.9,0.0,4.9
2011,Benedict,23561.0,0.0,4.74,0.0,4.74
2012,Benedict,23338.0,0.0,4.69,0.0,4.69
2013,Benedict,25127.0,0.0,5.05,0.0,5.05
2014,Benedict,22925.0,0.0,4.61,0.0,4.61
2015,Benedict,21208.0,0.0,4.26,0.0,4.26
2016,Benedict,20566.0,0.0,4.13,0.0,4.13
2017,Benedict,23514.0,0.0,4.73,0.0,4.73
2018,Benedict,22630.0,0.0,4.55,0.0,4.55
2019,Benedict,23589.0,0.0,4.74,0.0,4.74
2020,Benedict,20448.0,0.0,4.11,0.0,4.11
2021,Benedict,26670.0,0.0,5.36,0.0,5.36
2022,Benedict,26387.0,0.0,5.3,0.0,5.3
2023,Benedict,29140.0,0.0,5.86,0.0,5.86
2024,Benedict,32793.0,0.0,6.59,0.0,6.59
2025,Benedict,32809.0,0.0,6.59,0.0,6.59
2003,Bristol,0.0,0.0,0.0,0.0,0.0
2004,Bristol,417380.0,0.0,83.89,0.0,83.89
2005,Bristol,433662.0,0.0,87.17,0.0,87.17
2006,Bristol,0.0,0.0,0.0,0.0,0.0
2007,Bristol,372663.0,0.0,74.91,0.0,74.91
2008,Bristol,335591.425,0.0,67.45,0.0,67.45
2009,Bristol,328060.0,0.0,65.94,0.0,65.94
2010,Bristol,276250.0,0.0,55.53,0.0,55.53
2011,Bristol,276170.0,0.0,55.51,0.0,55.51
2012,Bristol,276140.0,0.0,55.5,0.0,55.5
2013,Bristol,274000.0,0.0,55.07,0.0,55.07
2014,Bristol,260430.0,0.0,52.35,0.0,52.35
2015,Bristol Center,262692.0,0.0,52.8,0.0,52.8
2016,Bristol Center,265938.0,0.0,53.45,0.0,53.45
2017,Bristol Center,262744.0,0.0,52.81,0.0,52.81
2018,Bristol Center,231735.527,0.0,46.58,0.0,46.58
2019,Bristol Center,246797.801,0.0,49.61,0.0,49.61
2020,Bristol Center,256052.0,0.0,51.47,0.0,51.47
2021,Bristol Center,254874.0,0.0,51.23,0.0,51.23
2022,Bristol Center,250420.0,0.0,50.33,0.0,50.33
2023,Bristol Center,245158.0,0.0,49.28,0.0,49.28
2024,Bristol Center,266449.502,0.0,53.56,0.0,53.56
2025,Bristol Center,270742.0,0.0,54.42,0.0,54.42
2003,Bundy D H,0.0,0.0,0.0,0.0,0.0
2004,Bundy D H,63840.0,0.0,12.83,0.0,12.83
2005,Bundy D H,59360.0,0.0,11.93,0.0,11.93
