year,building,kwh,gas_cuft
2021,(kilowatts),0.0,0.0
2022,(kilowatts),0.0,0.0
2023,(kilowatts),0.0,0.0
2024,(kilowatts),0.0,0.0
2025,(kilowatts),0.0,0.0
2003,98 C H R,0.0,0.0
2003,ALCC,0.0,0.0
2004,ALCC,4538.0,0.0
2005,ALCC,4249.0,0.0
2006,ALCC,0.0,0.0
2007,ALCC,3027.0,0.0
2008,ALCC,4636.0,0.0
2009,ALCC,5534.0,0.0
2010,ALCC,6489.0,0.0
2011,ALCC,4428.0,0.0
2012,ALCC,2396.0,0.0
2013,ALCC,4038.0,0.0
2014,ALCC,3565.0,0.0
2015,ALCC,4629.0,0.0
2016,ALCC,7052.0,0.0
2017,ALCC,8278.0,0.0
2018,ALCC,9774.0,0.0
2019,ALCC,5382.0,0.0
2020,ALCC,4428.0,0.0
2021,ALCC,4962.0,0.0
2022,ALCC,5594.0,0.0
2023,ALCC,5330.0,0.0
2024,ALCC,3761.0,0.0
2025,ALCC,4568.0,0.0
2003,Admissions,0.0,0.0
2004,Admissions,50335.0,0.0
2005,Admissions,66584.0,0.0
2006,Admissions,0.0,0.0
2003,Artificial Turf Field,0.0,0.0
2004,Artificial Turf Field,0.0,0.0
2005,Artificial Turf Field,0.0,0.0
2006,Artificial Turf Field,0.0,0.0
2007,Artificial Turf Field,0.0,0.0
2008,Artificial Turf Field,0.0,0.0
2009,Artificial Turf Field,0.0,0.0
2003,Babbitt #1,0.0,0.0
2004,Babbitt #1,477120.0,0.0
2005,Babbitt #1,504000.0,0.0
2006,Babbitt #1,0.0,0.0
2007,Babbitt #1,470640.0,0.0
2008,Babbitt #1,424320.0,0.0
2009,Babbitt #1,396038.0,0.0
2010,Babbitt #1,377340.0,0.0
2011,Babbitt #1,426240.0,0.0
2012,Babbitt #1,412560.0,0.0
2013,Babbitt #1,441600.0,0.0
2014,Babbitt #1,441840.0,0.0
2015,Babbitt #1,433200.0,0.0
2016,Babbitt #1,452640.0,0.0
2017,Babbitt #1,439680.0,0.0
2018,Babbitt #1,493800.0,0.0
2019,Babbitt #1,495840.0,0.0
2020,Babbitt #1,371280.0,0.0
2021,Babbitt #1,467520.0,0.0
2022,Babbitt #1,493680.0,0.0
2023,Babbitt #1,467040.0,0.0
2024,Babbitt #1,453120.0,0.0
2025,Babbitt #1,490080.0,0.0
2003,Babbitt #2,0.0,0.0
2004,Babbitt #2,634320.0,0.0
2005,Babbitt #2,656160.0,0.0
2006,Babbitt #2,0.0,0.0
2007,Babbitt #2,630240.0,0.0
2008,Babbitt #2,586080.0,0.0
2009,Babbitt #2,555360.0,0.0
2010,Babbitt #2,525360.0,0.0
