year,kwh,gas_cuft,elec_co2_mt,gas_co2_mt,total_co2_mt
2003,0.0,0.0,0.0,0.0,0.0
2004,17129009.9,0.0,3442.93,0.0,3442.93
2005,16086890.3,0.0,3233.46,0.0,3233.46
2006,1157120.0,0.0,232.58,0.0,232.58
2007,23455773.02,0.0,4714.61,0.0,4714.61
2008,21777542.145,3771930.0,4377.29,199.91,4577.2
2009,19617495.7,24539576.0,3943.12,1300.6,5243.71
2010,19764549.5,20633280.0,3972.67,1093.56,5066.24
2011,19055504.488,28590487.0,3830.16,1515.3,5345.45
2012,18780570.1,23336558.0,3774.89,1236.84,5011.73
2013,19286808.392,24713832.0,3876.65,1309.83,5186.48
2014,13597663.47,23359705.0,2733.13,1238.06,3971.19
2015,14835340.11,25202584.0,2981.9,1335.74,4317.64
2016,20952113.79,32515733.0,4211.37,1723.33,5934.71
2017,19536804.5,26517079.1,3926.9,1405.41,5332.3
2018,21342109.593,28342859.0,4289.76,1502.17,5791.94
2019,21731988.401,30292593.0,4368.13,1605.51,5973.64
2020,22303258.72,22972151.0,4482.96,1217.52,5700.48
2021,21259176.39,18976087.0,4273.09,1005.73,5278.83
2022,22060029.35,8794231.0,4434.07,466.09,4900.16
2023,22373665.79,6924951.0,4497.11,367.02,4864.13
2024,22817090.642,4860271.0,4586.24,257.59,4843.83
2025,21704567.0,5163548.0,4362.62,273.67,4636.29
