year,kwh,gas_cuft
2003,0.0,0.0
2004,17129009.9,0.0
2005,16086890.3,0.0
2006,1157120.0,0.0
2007,23455773.02,0.0
2008,21777542.145,3771930.0
2009,19617495.7,24539576.0
2010,19764549.5,20633280.0
2011,19055504.487999998,28590487.0
2012,18780570.1,23336558.0
2013,19286808.392,24713832.0
2014,13597663.47,23359705.0
2015,14835340.11,25202584.0
2016,20952113.79,32515733.0
2017,19536804.5,26517079.1
2018,21342109.593,28342859.0
2019,21731988.401,30292593.0
2020,22303258.72,22972151.0
2021,21259176.39,18976087.0
2022,22060029.35,8794231.0
2023,22373665.79,6924951.0
2024,22817090.642,4860271.0
2025,21704567.0,5163548.0
